BrainMap Behavior,Experiments,IC-18,IC-14,IC-06,IC-16,IC-07,IC-20,IC-17,IC-04,IC-09,IC-13,IC-03,IC-08,IC-12
Emotion.Negative.Sadness,95,0.046524057,0.029844595,0.014529843,0.048134467,-0.011950139,-0.013673502,0.018222295,0.035928762,0.018786917,0.015134891,0.021113642,-0.03510745,-0.015502107
Emotion.Neutral,24,0.015009035,0.036425699,-0.012590707,0.02046273,-0.014848506,0.044623154,0.015960589,0.038754904,-0.007389616,0.069812728,0.030844042,-0.035353673,-0.005857694
Emotion.Other,470,0.056617856,0.008179796,0.010384388,0.046171495,-0.011459497,-0.013251453,0.025754231,0.033797083,0.020866002,0.022403482,0.028833738,-0.024807258,0.013955467
Emotion.Positive.Happiness.Other,94,0.04129727,0.03824288,0.034465162,0.026827595,0.011271772,-0.015781476,0.001436726,0.004456522,-9.76E-05,0.017586817,-0.00362448,-0.014299263,-0.003529793
Emotion.Positive.Other,38,0.022068585,0.020578161,-0.003366354,-0.000212833,0.012705929,-0.009168438,0.011676203,0.004585997,-0.028273028,0.044907085,0.000754679,-0.022169949,-0.017473156
Emotion.Positive.Reward/Gain,641,0.025712262,0.103807394,0.038114482,0.031812038,-0.029336918,-0.024830333,0.038078918,0.055472173,0.016613425,0.021731717,0.014339525,-0.009609,-0.004313
Emotion.Valence,41,0.024530264,-0.014819476,-0.018820085,0.032644517,0.023544941,-0.017914477,-0.007086606,0.009624115,0.016120034,0.018601204,0.02803722,0.011385838,0.012351007
Interoception.Gastrointestinal/Genitourinary (GI/GU),37,-0.007880543,0.046063832,0.050929939,0.06945431,-0.00372663,-0.053234234,0.032745433,0.092363252,0.057605915,-0.020464759,0.03177014,0.013116514,0.012843535
Interoception.Hunger,29,0.035680289,0.010457614,0.015901356,0.006580041,0.009313946,-0.007529707,-0.00143869,0.010901473,0.008962592,-0.003156174,0.022222534,-0.013600847,0.047058482
Interoception.Osmoregulation,11,-0.053117426,-0.032952062,-0.035884982,0.030061416,-0.011828056,-0.016164978,0.078723205,0.030992885,0.037619311,0.034769288,0.017375758,0.084625425,0.042642315
Interoception.Respiration Regulation,42,0.032485485,0.013194521,0.045385158,-0.001362411,-0.031286269,-0.02572173,0.015014246,0.023154707,0.012701515,-0.029634947,-0.014721776,-0.003670806,0.019137728
Interoception.Sexuality,137,0.092770242,0.0752137,0.049428339,0.008718751,-0.031015066,-0.015484167,-0.001655529,0.031289493,0.018224234,0.000524266,-0.000393805,-0.015121522,0.00765079
Interoception.Sleep,23,-7.70E-05,0.015278637,0.024997551,-0.0038259,0.00556068,0.025403059,0.019067231,0.042987876,0.020202083,-0.006321215,0.036021409,-0.021502558,0.009122814
Interoception.Thirst,20,-0.027910904,0.002686214,-0.009821789,0.046635625,-0.014087352,-0.01921452,0.080099243,0.06888891,0.028941649,0.036251792,0.009568456,0.032826285,0.015607754
Interoception.Vestibular,10,0.072789802,0.014954038,-0.021716797,-0.016437941,0.044467058,-0.062843,0.046807458,-0.007249001,-0.021432869,-0.000483733,-0.019071464,-0.020760504,-0.012796553
Perception.Audition,336,-0.010782214,-0.00300435,0.003956084,0.031625426,0.180937196,-0.040720707,0.013995083,0.03386302,0.036585942,-0.034145686,0.053701141,0.00083386,0.037543094
Perception.Gustation,166,0.021782201,0.055309661,0.017997369,0.051529496,-0.00982204,-0.026338637,0.014685728,0.06424057,0.022495571,-0.000561602,0.026858247,-0.023091666,0.031667046
Perception.Olfaction,136,0.166658229,0.070184858,0.031854033,0.005131831,-0.032383252,-0.016300441,0.002348463,0.024098581,-0.016163305,-0.012310927,-0.004756918,-0.01457881,-0.021462936
Perception.Somesthesis.Other,322,-0.014909968,0.002990853,0.017900387,0.007840154,0.018165202,-0.036074848,0.013967924,0.017809755,0.01895382,-0.032973318,0.002526835,0.114717061,0.036216226
Perception.Somesthesis.Pain,255,0.012093581,0.052217809,0.068291222,0.055842729,0.019270314,-0.056130414,0.067829622,0.087924345,0.04455192,-0.035290932,0.014673547,0.038031245,0.006447235
Perception.Vision.Color,55,-0.001629908,0.004369759,0.033822446,0.013949221,-0.040700018,0.013836109,0.024821237,0.042610961,0.030052736,-0.013778161,0.027703913,0.015817425,0.014335057
Perception.Vision.Motion,196,-0.028411435,0.000280662,0.013262702,-0.014242642,-0.035570733,0.036665438,0.003977648,0.014741954,0.021517136,-0.032805411,-0.001483469,0.036402354,0.020476547
Perception.Vision.Other,489,0.010733735,-0.011439622,-0.012831752,0.003131117,-0.018834597,0.021917825,0.006285795,0.009040015,0.019110769,-0.012535014,0.016610813,0.002304274,0.017017936
Perception.Vision.Shape,298,0.01104425,-0.010262742,-0.016687969,0.011524688,-0.031920729,0.019105357,0.02346289,0.017700581,0.027971427,-0.020707354,0.025915409,0.010860604,0.025848071
